STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/9/2019,,64,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/10/2019,,58,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/11/2019,,62,77,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/12/2019,,53,,35
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/13/2019,,55,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/14/2019,,57,72,38
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/15/2019,,52,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/16/2019,,55,71,42
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/17/2019,,52,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/18/2019,,54,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/19/2019,,67,,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/20/2019,,61,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/21/2019,,58,71,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/22/2019,,50,69,40
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/23/2019,,57,,39
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/24/2019,,65,80,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/25/2019,,59,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/26/2019,,67,80,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/27/2019,,53,,38
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/28/2019,,54,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/29/2019,,64,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/30/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/31/2019,,65,74,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/1/2019,,62,75,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/2/2019,,64,76,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/3/2019,,65,,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/4/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/5/2019,,69,80,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/6/2019,,68,,56
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/7/2019,,64,,52
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/8/2019,,70,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/9/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,8/10/2019,,59,,50
